Name,Titel,Anmerkungen,Reihe,Personen,Erscheinungsort: Verlag,Erscheinungsjahr,Auflage,Verlag,Address,Description,URL_WorldCat,Inhalt,TimeStamp,fshop,isoLand,iso2Sprache,Latitude,Longitude,WorldCat_ID,WorldCat_Link
Meister Floh. Handliche Bibliothek der Romantik Band 9.,Meister Floh. Handliche Bibliothek der Romantik Band 9.,E.T.A. Hoffmann.,Handliche Bibliothek der Romantik 9,Hoffmann&comma;E.T.A.; Borgards&comma;Roland,Berlin: Secession Verlag Berlin,2021,1. Auflage,Secession Verlag Berlin,Berlin,<b>Meister Floh.</b> Handliche Bibliothek der Romantik Band 9.<br>Berlin: Secession Verlag Berlin 2021. 1. Auflage Hoffmann&comma;E.T.A.; Borgards&comma;Roland.,<a href="http://www.worldcat.org/oclc/1104468407" target="_blank">(OCoLC)1104468407</a>,,2021,MF,DEU,ger,52.516666666667,13.383333333333,(OCoLC)1104468407,http://www.worldcat.org/oclc/1104468407
Casse-Noisette et le Roi des Rats. Nussknacker und Mausekönig.,Casse-Noisette et le Roi des Rats. Nussknacker und Mausekönig.,E.T.A Hoffmann ; traduit de l'allemand par Madeleine Laval.,Collection Folio bilingue; 218,Hoffmann&comma;E.T.A.; Laval&comma;Madeleine,Paris: Gallimard,DL 2019,,Gallimard,Paris,<b>Casse-Noisette et le Roi des Rats.</b> Nussknacker und Mausekönig.<br>Paris: Gallimard DL 2019. Hoffmann&comma;E.T.A.; Laval&comma;Madeleine.,<a href="http://www.worldcat.org/oclc/1090398594" target="_blank">(OCoLC)1090398594</a>,,2019,NM,FRA,fre,48.856944444444,2.3513888888889,(OCoLC)1090398594,http://www.worldcat.org/oclc/1090398594
Chàng cắn hồ đào và vua chuột. Cổ tích siêu thực kinh điển Đức.,Chàng cắn hồ đào và vua chuột. Cổ tích siêu thực kinh điển Đức.,E.T.A. Hoffman ; Quang Chiến dịch.,,Hoffmann&comma;E.T.A.; Quang Chiến,Hanoi: Nhà xuất bản Hội nhà văn,2019,,Nhà xuất bản Hội nhà văn,Hanoi,<b>Chàng cắn hồ đào và vua chuột.</b> Cổ tích siêu thực kinh điển Đức.<br>Hanoi: Nhà xuất bản Hội nhà văn 2019. Hoffmann&comma;E.T.A.; Quang Chiến.,<a href="http://www.worldcat.org/oclc/1101407967" target="_blank">(OCoLC)1101407967</a>,,2019,NM,VNM,vie,21.0245,105.84117,(OCoLC)1101407967,http://www.worldcat.org/oclc/1101407967
Cuentos de música y músicos.,Cuentos de música y músicos.,E.T.A. Hoffmann ; edición&comma;José Sánchez López.,Akal básica de bolsillo 264. Serie Clásicos de la literatura alemana,Hoffmann&comma;E.T.A.; Sánchez López&comma;José,Tres Cantos&comma;Madrid: Akal,[2019],,Akal,Tres Cantos&comma;Madrid,<b>Cuentos de música y músicos.</b><br>Tres Cantos&comma;Madrid: Akal [2019]. Hoffmann&comma;E.T.A.; Sánchez López&comma;José.,<a href="http://www.worldcat.org/oclc/1089232246" target="_blank">(OCoLC)1089232246</a>,,2019,a2a,ESP,spa,40.416666666666664,-3.7025,(OCoLC)1089232246,http://www.worldcat.org/oclc/1089232246
De notenkraker.,De notenkraker.,An Leysen.,,Leysen&comma;An; Hoffmann&comma;E.T.A.,Amsterdam: Clavis,2019,Derde druk.,Clavis,Amsterdam,<b>De notenkraker.</b><br>Amsterdam: Clavis 2019. Derde druk. Leysen&comma;An; Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1099799367" target="_blank">(OCoLC)1099799367</a>,,2019,NM,NLD,dut,52.383333333333,4.9,(OCoLC)1099799367,http://www.worldcat.org/oclc/1099799367
Der Sandmann. Erzählungen. Mit Ausschnitten aus »Das Unheimliche« von Sigmund Freud.,Der Sandmann. Erzählungen. Mit Ausschnitten aus »Das Unheimliche« von Sigmund Freud.,E.T.A. Hoffmann.,Backup 2,Hoffmann&comma;E.T.A.; Freud&comma;Sigmund; Höltschl&comma;Rainer,Leipzig: OPEN HOUSE,2019,1. Auflage,OPEN HOUSE,Leipzig,<b>Der Sandmann.</b> Erzählungen. Mit Ausschnitten aus »Das Unheimliche« von Sigmund Freud.<br>Leipzig: OPEN HOUSE 2019. 1. Auflage Hoffmann&comma;E.T.A.; Freud&comma;Sigmund; Höltschl&comma;Rainer.,<a href="http://www.worldcat.org/oclc/1081384650" target="_blank">(OCoLC)1081384650</a>,,2019,SM,DEU,ger,51.34,12.375,(OCoLC)1081384650,http://www.worldcat.org/oclc/1081384650
Der Sandmann. Leinen mit Goldprägung.,Der Sandmann. Leinen mit Goldprägung.,E.T.A. Hoffmann.,,Hoffmann&comma;E.T.A.,Hamburg: Nikol,2019,,Nikol,Hamburg,<b>Der Sandmann.</b> Leinen mit Goldprägung.<br>Hamburg: Nikol 2019. Hoffmann&comma;E.T.A.,<a href="http://www.worldcat.org/oclc/1091369138" target="_blank">(OCoLC)1091369138</a>,,2019,SM,DEU,ger,53.55,10,(OCoLC)1091369138,http://www.worldcat.org/oclc/1091369138
Die Perlen der Kleopatra.,Die Perlen der Kleopatra.,W. Somerset Maugham&comma;Teffy&comma;Guy de Maupassant&comma;Johann Gottfried Herder&comma;E.T.A. Hoffmann [und weitere].,,Somerset Maugham&comma;W.; Fischer&comma;Natalie; Teffy; et al.,Dresden: Mons Verlag,2019,,Mons Verlag,Dresden,<b>Die Perlen der Kleopatra.</b><br>Dresden: Mons Verlag 2019. Somerset Maugham&comma;W.; Fischer&comma;Natalie; Teffy; et al.,<a href="http://www.worldcat.org/oclc/1101253733" target="_blank">(OCoLC)1101253733</a>,,2019,SVAut,DEU,ger,51.05,13.74,(OCoLC)1101253733,http://www.worldcat.org/oclc/1101253733
Gespenster. Handliche Bibliothek der Romantik Band 1.,Gespenster. Handliche Bibliothek der Romantik Band 1.,,Handliche Bibliothek der Romantik 1,Neumeyer&comma;Harald; Motte-Fouqué&comma;Friedrich de la; Kleist&comma;Heinrich von; et al.,Berlin: Secession Verlag Berlin,2019,1. Auflage,Secession Verlag Berlin,Berlin,<b>Gespenster.</b> Handliche Bibliothek der Romantik Band 1.<br>Berlin: Secession Verlag Berlin 2019. 1. Auflage Neumeyer&comma;Harald; Motte-Fouqué&comma;Friedrich de la; Kleist&comma;Heinrich von; et al.,<a href="http://www.worldcat.org/oclc/1104402341" target="_blank">(OCoLC)1104402341</a>,,2019,SVAut,DEU,ger,52.516666666667,13.383333333333,(OCoLC)1104402341,http://www.worldcat.org/oclc/1104402341
Leven en opvattingen van Kater Murr.,Leven en opvattingen van Kater Murr.,E.T.A. Hoffmann ; vertaald [uit het Duits] en van noten voorzien door Wilfred Oranje ; met een nawoord van Francien Markx.,,Hoffmann&comma;E.T.A.; Oranje&comma;Wilfred; Markx&comma;Francien,Amsterdam: L.J. Veen Klassiek,2019,Tweede druk.,L.J. Veen Klassiek,Amsterdam,<b>Leven en opvattingen van Kater Murr.</b><br>Amsterdam: L.J. Veen Klassiek 2019. Tweede druk. Hoffmann&comma;E.T.A.; Oranje&comma;Wilfred; Markx&comma;Francien.,<a href="http://www.worldcat.org/oclc/1090416866" target="_blank">(OCoLC)1090416866</a>,,2019,LM,NLD,dut,52.383333333333,4.9,(OCoLC)1090416866,http://www.worldcat.org/oclc/1090416866
